What Lie About Your Worth Do You Believe?	what-lie-about-your-worth	profile	identity	The "I'm Too Much" Lie | The "I'm Not Enough" Lie | The "I'm Unlovable" Lie | The "I Have to Earn It" Lie	Names the exact lie running your self-talk, then answers it with who God says you are; the lie label is screenshot-bait people repost as a confession.	93	Devotional corpus on "lies the enemy tells" (Proverbs31 "Shame Doesn't Get the Final Say", Seedword "10 biggest lies of the enemy", renew.org "Our Identity and the Enemy") centers on lies like "you're not good enough / not lovable / too flawed"; "feeling not good enough" is a top Christian search.
Who Are You in Christ, Really?	who-are-you-in-christ	profile	identity	Chosen | Beloved | Redeemed | Sealed and Secure	Turns the most-searched Christian identity question into a personal badge ("I'm Beloved") instead of a sermon; "who am I in Christ" is an evergreen high-volume query.	95	"Who am I in Christ" returns massive results (Cru, Joyce Meyer, Navigators, Bible Study Tools 20+ verses, "28 I AM statements"); Cru/biblestudytools frame identity as chosen/loved/accepted/enough.
What's Your Comparison Trap?	whats-your-comparison-trap	profile	comparison	The Highlight-Reel Scroller | The Silent Scorekeeper | The Never-Measures-Up | The Secret Competitor	Diagnoses HOW you compare (not whether), making "comparison is the thief of joy" personal and shareable for the social-media generation.	92	"Comparison is the thief of joy" is a huge Christian sermon topic (Desiring God, Christianity Today, Perspective Ministries); sources tie it to social media envy, "smug pride or envious inferiority", and feeling "less in the end".
What's Your Loneliness Pattern?	whats-your-loneliness-pattern	profile	loneliness	Emotional Loneliness | Social Loneliness | Existential Loneliness | Situational Loneliness	Maps your loneliness onto the real psychological types so it feels named and validated, then points each to a biblical companion; deeply shareable for the "I feel this" crowd.	90	Psychology Today / iPractice / Oxford Gerontologist define emotional, social, existential (plus situational/chronic) loneliness as distinct types; "what kind of lonely are you" is a recognized framing.
Which Overlooked Bible Person Are You?	which-overlooked-bible-person-are-you	archetype	identity	Leah (the unseen one) | Hagar (the cast-out one) | Mephibosheth (the forgotten one) | Zacchaeus (the outsider)	Flagship archetype for people who feel invisible; each result is someone God SAW and chose, turning "I'm overlooked" into "I'm seen". Pure identity-badge energy.	94	Multiple "overlooked/forgotten/underappreciated Bible characters" roundups (Mockingbird, AnsweredFaith, Crossway "5 forgotten women") center Leah ("wanted to be seen"), Hagar ("the God who sees me"), Mephibosheth, Zacchaeus.
Are You a Leah or a Rachel?	are-you-a-leah-or-a-rachel	archetype	comparison	Leah (overlooked but chosen) | Rachel (loved but striving)	A binary "which sister" quiz in the proven Mary-or-Martha mold, but about being the unseen one vs the envied one; instantly debatable and shareable.	88	Bible.org titles Leah "The Woman No Man Loved But Every Woman Envied"; teaching corpus frames the Leah/Rachel rivalry as overlooked-vs-favored, a built-in comparison dyad.
What's Your Hidden Insecurity?	whats-your-hidden-insecurity	profile	identity	Fear of Being Found Out | Fear of Not Mattering | Fear of Rejection | Fear of Falling Behind	Surfaces the insecurity you mask, with a gentle scripture reframe; "the thing I never say out loud" framing drives private shares and saves.	87	Identity-in-Christ resources (Cru, Esther Dorotik "Overcoming the Lies Lurking Within") name hidden fears of being unlovable/not enough; "feeling not good enough" and impostor feelings are recurring Christian struggles.
Do You Have Christian Impostor Syndrome?	christian-impostor-syndrome	profile	identity	The Fraud Feeling | The Never-Holy-Enough | The Comparison Christian | The Secure-in-Grace	Names the "I'm faking my faith / everyone's holier than me" feeling so many carry silently; the diagnosis itself is the shareable hook.	86	Identity/lies devotionals describe believers feeling "you've committed too many sins, God can't really love you"; impostor-style "am I a real Christian / not holy enough" is a common quiet struggle surfaced in identity content.
What's Stealing Your Sense of Worth?	what-steals-your-worth	profile	identity	Achievement | Approval | Appearance | Other People's Opinions	Pinpoints the idol your worth is hooked to, then redirects it to grace; "stop letting X define you" is endlessly quotable.	85	Cru/finds.life.church identity content warns the world defines you by "looks, achievements, or followers"; Romans 15:7 framing ("you don't need approval/validation from the world") is widely cited.
Which "Unseen by God" Moment Do You Relate To?	unseen-by-god-moment	archetype	loneliness	Hagar in the Wilderness | Elijah Under the Broom Tree | Hannah at the Temple | David in the Caves	For the person who feels God forgot them; each story ends with God showing up, reframing "does God even see me" into "He sees me". High emotional pull.	89	Hagar's "You are the God who sees me" (El Roi) is a headline theme in overlooked-character studies; "feeling unseen by God / forgotten" is a documented loneliness-and-faith struggle.
