What's Your Anxiety Style?	whats-your-anxiety-style	profile	Anxiety shows up differently for everyone and people want a name for the specific way their fear operates	The Catastrophizer | The Overthinker | The Controller | The People-Pleaser | The Avoider | The Worst-Case Planner | The Silent Carrier	A faith twist on the proven BuzzFeed anxiety-type format that hands you a named pattern plus a scripture and one next step you screenshot	93	"christian anxiety" YT videos run 100k-1M+ views; BuzzFeed "What Percent Worrier Are You?" and overthinking-archetype quizzes prove the type-me format
Which Bible Figure Felt Your Kind of Anxiety?	which-bible-figure-felt-your-anxiety	archetype	People feel alone in their fear and crave proof that heroes of faith panicked too	Martha (frantic and overwhelmed) | David (hunted and afraid) | Hannah (aching and desperate) | Peter (sinking in doubt) | Elijah (burned out and hopeless) | Job (blindsided by loss) | Jonah (running from it all)	Self-recognition plus a comforting "even they felt this" badge that destigmatizes anxiety and begs to be shared	90	Articles like "16 Bible Characters Who Struggled with Anxiety" and "6 Bible Figures Who Struggled With Anxiety" rank widely; Martha "anxious about many things" is a known anchor
What's Fueling Your Worry?	whats-fueling-your-worry	profile	People worry constantly but rarely know the root driver underneath the spiral	Fear of the Future | Fear of Losing Control | Fear of Not Being Enough | Fear of Abandonment | Fear of the Worst Happening | Fear of Failing God	Names the hidden root of your anxiety, which feels like being deeply seen, and gives a verse for that exact root	89	"Why am I so anxious" and "fear of the future" are heavy Christian search terms; Desiring God and Gospel Coalition both run high-traffic fear-of-future pieces
Do You Have High-Functioning Anxiety?	do-you-have-high-functioning-anxiety	profile	People who look totally put-together are secretly running worst-case scenarios all night and feel unseen	Hidden High-Functioning Anxiety | Quiet Overwhelm | Productive Panic | The Capable Mask | Mostly At Peace	"You look fine but you're not" is an instant self-recognition hook that high-achieving Christian women screenshot and send to each other	92	Multiple therapist/Christian blogs on "high-functioning anxiety in women" describe looking capable while lying awake catastrophizing; strong niche demand
Which Anxiety Bible Verse Is for You Right Now?	which-anxiety-verse-for-you	profile	People literally search "bible verses for anxiety" and want the one that fits their exact moment	Philippians 4:6-7 (Anxious About Everything) | Matthew 6:34 (Worried About Tomorrow) | 1 Peter 5:7 (Carrying Too Much) | Isaiah 41:10 (Scared and Alone) | Psalm 94:19 (Spiraling Thoughts) | John 14:27 (Can't Find Peace) | Psalm 56:3 (Afraid Right Now)	Turns the #1 anxiety search into a personalized verse-match badge people save as a phone wallpaper	91	"Bible verses for anxiety" is a top-volume YT/search category (100k-1M+ view videos, ASMR and meditation formats all over it)
What Does Your Overthinking Spiral Look Like?	whats-your-overthinking-spiral	profile	Overthinkers replay, rehearse, and future-trip and want their specific loop named	The Replayer (rumination) | The What-If Machine (future tripping) | The Decision-Freezer (paralysis) | The Comparer | The Mind-Reader | The Rehearser	Overthinking quizzes are a proven viral genre; the faith angle adds a verse to break each specific loop	90	Overthinking Archetype Quiz and BuzzFeed "If You Overthink Too Much" prove the format; rumination/catastrophizing/future-tripping are named subtypes
How Anxious Is Your Attachment to God?	how-anxious-is-your-attachment-to-god	profile	Many believers secretly fear they aren't good enough for God to love and constantly seek reassurance	Anxiously Attached (need constant proof) | Avoidant (keep God at arm's length) | Earning-It (love feels conditional) | Growing Secure | Securely Attached	Reframes attachment-theory content (huge on socials) through faith; the "do you trust God's love or audition for it" hook lands hard	88	RADIANT and Proverbs 31 both publish on attachment style and your relationship with God; "am I good enough for God to love me" is a recurring anxious pattern
Are You Stuck in Worst-Case-Scenario Mode?	are-you-stuck-in-worst-case-mode	profile	Catastrophizers mentally rehearse disasters and want to know how deep they're in	Full Catastrophe Mode | Frequent Spiraler | Situational Catastrophizer | Mostly Grounded | Anchored in Hope	The "I always assume the worst" confession is universal and the result gives a takeable thought-captive next step	87	"How to stop catastrophizing: a Christian woman's guide" and future-tripping content show strong demand for naming worst-case thinking
Which "Fear Not" Bible Moment Is Yours?	which-fear-not-moment-is-yours	archetype	People in panic want to stand inside a Bible scene where God showed up in the fear	Joshua "Be Strong and Courageous" | Elijah Fed by the Angel | Disciples in the Storm | Peter Walking on Water | Gideon "The Lord Is With You" | Mary "Do Not Be Afraid" | Daniel in the Lions' Den	A vivid "which scared-then-rescued Bible scene is you" badge built on the Bible's most-repeated command, fear not	86	"Fear not" / "do not be afraid" verse roundups are everywhere; Elijah-fed-by-the-angel and disciples-in-the-storm are go-to anxiety scenes in Christian content
Which Psalm Is for Your Anxiety?	which-psalm-for-your-anxiety	profile	People reach for the Psalms specifically when fear hits and want the one matched to their anxiety	Psalm 23 (Fear of Loss) | Psalm 46 (Chaos and Overwhelm) | Psalm 91 (Fear for Safety) | Psalm 139 (Feeling Unseen) | Psalm 56 (Afraid Right Now) | Psalm 121 (Fear of the Future) | Psalm 34 (Drowning in Worry)	A clearly distinct anxiety-specific angle on the Psalms that matches how people actually use them in panic	86	Psalms dominate "bible verses for anxiety" lists; David's anxiety in the Psalms is a recurring teaching anchor across counseling sites
