What's Your Grief Style?	whats-your-grief-style	profile	grief	Tearful Lamenter | Quiet Carrier | Busy Doer | Hidden Griever	Names HOW you grieve (intuitive vs instrumental vs dissonant) so people who feel they grieve "wrong" finally feel seen and validated	88	Grief-styles framework (Martin/Doka intuitive vs instrumental vs dissonant) widely covered: shiftingtidestherapyny.com, whatsyourgrief.com, en.wikipedia.org/wiki/Intuitive-instrumental_grief; high emotional resonance for "am I grieving wrong" searchers
Which Bible Figure's Grief Mirrors Yours?	which-bible-figures-grief-mirrors-yours	archetype	grief	Job (Lost Everything) | Naomi (Turned Bitter) | David (Wept for His Child) | Mary & Martha (Where Were You, Lord?) | Jesus (Wept at the Tomb)	The flagship grief archetype - puts a sufferer's pain inside a sacred story so they feel companioned, not alone; deeply shareable "this is me" result	90	christianityiq.com/bible-characters-who-experienced-grief, answeredfaith.com/examples-grief-bible, desiringgod.org/articles/why-jesus-wept; Naomi "call me Mara" and David weeping confirmed across sources
What Shame Story Are You Living?	what-shame-story-are-you-living	profile	shame	I Am Too Much | I Am Not Enough | If They Knew, They'd Leave | I Am Beyond Repair	Names the specific lie shame whispers (shame = "I am bad" vs guilt = "I did bad") - intensely personal and shareable because it exposes a hidden inner script	89	emerge.org/guilt-and-shame-are-not-the-same, thegospelcoalition.org/article/difference-between-guilt-shame (shame tied to person, lie); thelivingwell.com "Shame: The Silent Destroyer of Your Faith"
What's Blocking You From Receiving Forgiveness?	whats-blocking-you-from-receiving-forgiveness	profile	guilt	Guilt You Keep Re-Paying | Shame You Hide | A Sin You Think Is Too Big | Not Feeling Forgiven	Targets the exact searcher who knows God forgives but can't FEEL it - reframes self-forgiveness as receiving grace already given	87	lachristiancounseling.com/how-to-forgive-yourself, epm.org "struggle to forgive yourself", proverbs31.org Lysa TerKeurst "person I'm struggling to forgive is me"
Which Forgiven Bible Figure Are You?	which-forgiven-bible-figure-are-you	archetype	guilt	Peter (Denied, Restored) | Paul (Former Enemy) | The Prodigal (Came Home) | The Woman Caught in Adultery (No Condemnation) | David (After the Fall)	Maps your past-sin story onto someone Scripture forgave - offers hope that "if God restored them, He can restore me"; highly shareable redemption frame	88	crosstalk.ai biblical examples of forgiven serious sins, pastorjasonelder.com Jesus reinstates Peter John 21, bible.org David & Bathsheba consequences
Is It Guilt or Shame You're Carrying?	is-it-guilt-or-shame-youre-carrying	profile	shame	Mostly Guilt (Conviction) | Mostly Shame (Condemnation) | A Tangle of Both | Old Shame Wearing Guilt's Mask	Teaches the conviction-vs-condemnation distinction as a self-test - clarifying and freeing, names what the enemy uses to keep you stuck	86	women.lifeway.com conviction/shame/guilt, belovedwomen.org condemnation vs conviction, krisreece.com decipher guilt shame conviction condemnation
Where Is God in Your Pain Right Now?	where-is-god-in-your-pain-right-now	profile	suffering	The Silent God (Felt Absence) | The Refining God (Purpose) | The Weeping God (With You) | The God You're Angry At	Meets the #1 suffering question head-on and gives language to where someone actually IS with God in their pain instead of where they "should" be	87	billygraham.org/articles/suffering-why-does-god-allow-it, davidjeremiah.org makingsense suffering, thinke.org/blog/god-allow-suffering (huge search demand)
What's Your Lament Language?	whats-your-lament-language	profile	grief	The Honest Complaint | The Desperate Appeal | The Stubborn Trust | The Wordless Groan	Frames raw, angry prayer as biblical and holy (40% of Psalms are lament) - gives permission to be honest with God; novel and validating	84	au.thegospelcoalition.org learning to lament, gotquestions.org psalms of lament, ligonier.org how to read psalms of lament (4 movements of lament)
Which Psalm of Lament Is Your Prayer Today?	which-psalm-of-lament-is-your-prayer-today	archetype	grief	Psalm 13 (How Long, O Lord?) | Psalm 22 (Why Have You Forsaken Me?) | Psalm 42 (Why So Downcast?) | Psalm 88 (The Darkness Is My Closest Friend)	Pairs your current ache with a specific dark psalm - distinct from "which psalm speaks to you" by focusing only on lament/suffering; comforting and screenshot-worthy	83	christianity.com 5 psalms of lament, takeitfromkayla.com psalms of lament list (Ps 13,22,42,44,88); net-new vs existing which-psalm-speaks-to-you
Can God Forgive This? What Your Answer Reveals	can-god-forgive-this-what-your-answer-reveals	profile	guilt	You Fear You're Beyond Grace | You Believe But Can't Feel It | You Hide One Secret Sin | You're Ready to Receive Mercy	Speaks directly to the "I feel unforgivable" searcher and gently dismantles the lie that any sin is too big - high-demand, deeply tender	86	levaire.com forgive yourself for something unforgivable, pursuegod.org how to forgive the unforgivable, footprintsofinspiration.com forgive past mistakes and sins
