id	title	slug	bucket	struggle	result_set	viral_angle	virality_score	evidence
1	Who Are You in Christ, Really?	who-are-you-in-christ	profile	identity	Chosen | Beloved | Redeemed | Sealed and Secure	Turns the most-searched Christian identity question into a personal badge ("I'm Beloved") instead of a sermon; "who am I in Christ" is an evergreen high-volume query.	95	"Who am I in Christ" returns massive results (Cru, Joyce Meyer, Navigators, Bible Study Tools 20+ verses, "28 I AM statements"); Cru/biblestudytools frame identity as chosen/loved/accepted/enough.
2	Is He the One? A Christian Discernment Profile	is-he-the-one-christian-discernment	profile	Agonizing over whether a partner is God's will or a mistake	Green Light: Pursue | Yellow: Pray and Watch | Red: Walk Away | Not Yet: Keep Growing	Answers the literal most-searched Christian dating question with a verdict people screenshot and text their friends	95	ChristianMingle 'Is He The One?' quiz; TGC says 'Will I know when I've found The One?' is 'probably the number one question'; humansexuality.org '10 biblical dating red flags'
3	Do You Have Church Hurt? (The Honest Test)	do-you-have-church-hurt	profile	church hurt	Carrying Real Church Hurt | A Spirit of Offense, Not Abuse | Survived Spiritual Abuse | Mostly Healed, a Few Triggers Left	Settles the question people quietly ask after leaving a church, with grace and zero shame; sits directly on top of proven 'religious trauma quiz' search demand	95	Multiple ranking quizzes ('Religious Trauma Test', '#1 Religious Trauma Quiz for Christian Women Ready to Heal'); YouTube 'church hurt vs spiritual abuse' and 'spiritual abuse vs a spirit of offense' videos
4	Which Overlooked Bible Person Are You?	which-overlooked-bible-person-are-you	archetype	identity	Leah (the unseen one) | Hagar (the cast-out one) | Mephibosheth (the forgotten one) | Zacchaeus (the outsider)	Flagship archetype for people who feel invisible; each result is someone God SAW and chose, turning "I'm overlooked" into "I'm seen". Pure identity-badge energy.	94	Multiple "overlooked/forgotten/underappreciated Bible characters" roundups (Mockingbird, AnsweredFaith, Crossway "5 forgotten women") center Leah ("wanted to be seen"), Hagar ("the God who sees me"), Mephibosheth, Zacchaeus.
5	Which Bible Couple Is Your Relationship?	which-bible-couple-is-your-relationship	archetype	Wondering what your relationship really mirrors	Ruth and Boaz | Priscilla and Aquila | Hosea and Gomer | Jacob and Rachel | Abigail and Nabal | Abraham and Sarah	Flagship couple-tag quiz; instantly screenshot-and-send to your partner; huge spread potential	94	Multiple 'best/most romantic couples of the Bible' listicles (Time-Warp Wife, Christianity.com, Nat Geo Jacob/Leah/Rachel); strong recognizable cast
6	Which Wounded-but-Healed Bible Figure Are You?	which-wounded-but-healed-bible-figure	archetype	healing past wounds	Joseph (Betrayed, Then Restored) | Naomi (Bitter, Then Renamed) | The Bleeding Woman (Suffering, Then Touched) | Mephibosheth (Crippled, Then Seated at the Table) | Paul (The Persecutor Made Apostle) | Hagar (Cast Out, Seen by God)	The flagship archetype for the whole cluster: maps your specific wound-to-healing arc onto a named figure who limped out the other side; hope plus honesty in one badge	94	Strong source base on each: Joseph forgiving his brothers (Genesis 50), the bleeding woman 'so much more than physical healing', Mephibosheth seated at David's table, Naomi's 'call me Mara'
7	What's Your Anxiety Style?	whats-your-anxiety-style	profile	Anxiety shows up differently for everyone and people want a name for the specific way their fear operates	The Catastrophizer | The Overthinker | The Controller | The People-Pleaser | The Avoider | The Worst-Case Planner | The Silent Carrier	A faith twist on the proven BuzzFeed anxiety-type format that hands you a named pattern plus a scripture and one next step you screenshot	93	"christian anxiety" YT videos run 100k-1M+ views; BuzzFeed "What Percent Worrier Are You?" and overthinking-archetype quizzes prove the type-me format
8	What Lie About Your Worth Do You Believe?	what-lie-about-your-worth	profile	identity	The "I'm Too Much" Lie | The "I'm Not Enough" Lie | The "I'm Unlovable" Lie | The "I Have to Earn It" Lie	Names the exact lie running your self-talk, then answers it with who God says you are; the lie label is screenshot-bait people repost as a confession.	93	Devotional corpus on "lies the enemy tells" (Proverbs31 "Shame Doesn't Get the Final Say", Seedword "10 biggest lies of the enemy", renew.org "Our Identity and the Enemy") centers on lies like "you're not good enough / not lovable / too flawed"; "feeling not good enough" is a top Christian search.
9	What Generational Pattern Are You Breaking?	what-generational-pattern-are-you-breaking	profile	Carrying family sin, trauma and dysfunction you desperately want to end	The Anger Cycle | The Absent-Parent Cycle | The Addiction Cycle | The Poverty-Fear Cycle | The Silence-and-Shame Cycle	Names the specific chain you're the first to break; cycle-breaker identity is intensely emotional and shareable	93	Pastor Vlad + Kris Reece YouTube on breaking generational curses; Exodus 20:5 third/fourth generation; Psychology Today 'What is a Cycle-Breaker?'; iBelieve breaking generational curses
10	What's Your Hidden Wound?	whats-your-hidden-wound	profile	healing past wounds	The Abandonment Wound | The Rejection Wound | The Betrayal Wound | The Not-Enough Wound | The Injustice Wound	Names the specific core wound running quietly under your reactions, then offers the verse that speaks to it; 'hidden wound / what is my core wound' is a heavily searched self-discovery hook	93	Inner-child content (Cleveland Clinic, Healthline 'heal your inner child') frames wounds as abandonment/rejection/shame; Christian 'allow God to heal the hidden wounds' devotionals use this exact phrasing
