What's Your Hidden Wound?	whats-your-hidden-wound	profile	healing past wounds	The Abandonment Wound | The Rejection Wound | The Betrayal Wound | The Not-Enough Wound | The Injustice Wound	Names the specific core wound running quietly under your reactions, then offers the verse that speaks to it; 'hidden wound / what is my core wound' is a heavily searched self-discovery hook	93	Inner-child content (Cleveland Clinic, Healthline 'heal your inner child') frames wounds as abandonment/rejection/shame; Christian 'allow God to heal the hidden wounds' devotionals use this exact phrasing
Do You Have Church Hurt? (The Honest Test)	do-you-have-church-hurt	profile	church hurt	Carrying Real Church Hurt | A Spirit of Offense, Not Abuse | Survived Spiritual Abuse | Mostly Healed, a Few Triggers Left	Settles the question people quietly ask after leaving a church, with grace and zero shame; sits directly on top of proven 'religious trauma quiz' search demand	95	Multiple ranking quizzes ('Religious Trauma Test', '#1 Religious Trauma Quiz for Christian Women Ready to Heal'); YouTube 'church hurt vs spiritual abuse' and 'spiritual abuse vs a spirit of offense' videos
What's Your Church-Hurt Recovery Stage?	whats-your-church-hurt-recovery-stage	profile	healing from church hurt	Still in the Fog | Naming What Happened | Setting Boundaries | Grieving the Loss | Cautiously Rebuilding Trust	Maps where you actually are in healing so the chaos has a name and a next step; recovery-stage framing is exactly how the top articles structure the journey	92	Center for Action and Contemplation 'guide to healing church hurt', Sandstone Care '9 signs of religious trauma & how to heal', Crosswalk '6 healthy ways to recover from church trauma' all lay out staged recovery
Who Do You Need to Forgive?	who-do-you-need-to-forgive	profile	unforgiveness toward others	A Parent | A Former Friend | A Church or Pastor | An Ex | Yourself | God (Honestly)	Surfaces the name your heart already whispered and gently points to the first step; 'who do I need to forgive' is the universal gut-punch question	91	'Forgiving someone who isn't sorry' is a top Christian search across iBelieve, Desiring God; forgiveness content repeatedly names parents, exes, church leaders, and self as the hardest targets
What's Fueling Your Bitterness?	whats-fueling-your-bitterness	profile	bitterness and resentment	An Unhealed Injustice | A Grudge You Keep Rehearsing | Comparison and Envy | Disappointment With God | An Apology That Never Came	Diagnoses the root feeding the resentment so you can pull it instead of fighting the fruit; bitterness as a 'prison you build' is a viral framing	89	Desiring God 'we cannot cling to bitterness and God', Christianity Today 'how to deal with bitterness and resentment'; CPTSD Foundation '6 ways to let go of resentment' names rehearsed grudges
Can You Forgive Someone Who Isn't Sorry?	can-you-forgive-someone-who-isnt-sorry	profile	forgiving someone who hurt you	You're Ready to Release It | You're Confusing Forgiveness With Reconciliation | You're Waiting on an Apology That May Never Come | You've Forgiven but the Wound Still Aches	Tackles the single most-searched forgiveness question head-on and separates forgiveness from reconciliation; instantly shareable for anyone stuck	93	Huge search cluster: Psalmlog, Bible Boulevard, Deb Preston, iBelieve all titled 'how to forgive someone who isn't sorry'; central teaching is forgiveness without an apology and boundaries intact
Which Wounded-but-Healed Bible Figure Are You?	which-wounded-but-healed-bible-figure	archetype	healing past wounds	Joseph (Betrayed, Then Restored) | Naomi (Bitter, Then Renamed) | The Bleeding Woman (Suffering, Then Touched) | Mephibosheth (Crippled, Then Seated at the Table) | Paul (The Persecutor Made Apostle) | Hagar (Cast Out, Seen by God)	The flagship archetype for the whole cluster: maps your specific wound-to-healing arc onto a named figure who limped out the other side; hope plus honesty in one badge	94	Strong source base on each: Joseph forgiving his brothers (Genesis 50), the bleeding woman 'so much more than physical healing', Mephibosheth seated at David's table, Naomi's 'call me Mara'
What's Your Triggered Reaction Style?	whats-your-triggered-reaction-style	profile	emotional triggers	The Shutdown (Freeze) | The Snap (Fight) | The Vanish (Flight) | The People-Please (Fawn) | The Spiral (Overthink)	Names how your old wound hijacks you in the moment, then shows the gentler response God offers; trigger/fight-flight-freeze-fawn content is massively shared	90	Inner-child sources (Tim Fletcher, Positive Psychology) explain triggers as 'wounded inner child reacting'; 'why do I get triggered' is a high-volume search with fight/flight/freeze/fawn vocabulary
What Lie Did Your Wound Teach You?	what-lie-did-your-wound-teach-you	profile	inner healing	'I'm Too Much' | 'I'm Not Enough' | 'It's Not Safe to Trust' | 'It's All My Fault' | 'I Have to Earn Love'	Exposes the childhood lie still steering you and pairs it with the truth that breaks it; the 'identify the lie, find the scripture' method is a core inner-healing practice	89	Christian inner-healing teaching: 'identify every lie from childhood, find scripture that refutes it, meditate on it daily'; lies like 'not enough / unsafe to trust' dominate inner-child recovery content
Why Can't You Trust Church Again?	why-cant-you-trust-church-again	profile	rebuilding trust after church hurt	A Leader Abused Their Power | You Were Shamed for Asking Questions | Community Turned on You | You Saw Behind the Curtain | You're Just Not Ready Yet	Validates the wall you put up and reframes slow trust as wisdom, not weakness; 'can't go back to church' is a raw, relatable confession	88	Biblical Counseling Coalition 'learning to trust again after church hurt' (trust built on evidence of the Spirit, not time); 9Marks and F. Remy Diederich on the 'walking wounded' misreading new churches
Are You Ready to Find a New Church?	are-you-ready-to-find-a-new-church	profile	finding a church after leaving one	Heal First, Don't Rush | Ready to Visit but Stay on the Edges | Ready to Try Belonging Again | You Don't Owe Anyone a Timeline	Answers the loaded 'should I go back?' question with permission to go slow; church-shopping-after-hurt is a defined, searched need	86	F. Remy Diederich 'I left my toxic church, now what?' (grieve the loss first), SOLA Network and YMI 'left the church hurt and came back' on easing back in slowly
Which Toxic Church Pattern Did You Survive?	which-toxic-church-pattern-survived	profile	leaving a toxic church	The Control Culture | The Celebrity Pastor | The Shame Machine | The Us-vs-Them Bubble | The Spiritual Bypassing	Helps you name the exact unhealthy system you escaped, which is itself a documented first step to healing; high recognition, very shareable	87	Sandstone Care and CAC list high-control environments, shame, and identity-suppression as marks of spiritual abuse; 'name what happened to you' is cited as the validating first step
Which Bible Figure Was Wounded by Religious Leaders Like You?	which-bible-figure-wounded-by-religious-leaders	archetype	church hurt	The Man Born Blind (Cast Out of the Synagogue) | Jeremiah (Persecuted by the Priests) | David (Hunted by God's Anointed King) | Hannah (Shamed at the Temple Door) | Jesus Himself (Rejected by the Religious Establishment)	Tells the church-hurt crowd that Scripture's own heroes were wounded by religious power, and Jesus most of all; validating, surprising, deeply shareable	89	John 9 man born blind 'thrown out', Jeremiah beaten by priest Pashhur, David fleeing Saul, Hannah judged by Eli, and Jesus rejected by the Pharisees ground the church-hurt experience biblically
What's Keeping You Stuck in Unforgiveness?	whats-keeping-you-stuck-in-unforgiveness	profile	holding a grudge	You Think Forgiving Means It Was Okay | You're Protecting Yourself From More Hurt | You're Waiting for Them to Pay | Forgiving Feels Like Losing	Diagnoses the belief jamming the lock on forgiveness; reframes the myths that keep people imprisoned in resentment	88	Mayo Clinic 'letting go of grudges', Renovare 'release resentment'; Christian teaching that unforgiveness 'gives your offender ongoing power' and is a self-built prison
Which Bible Figure's Grudge Are You Carrying?	which-bible-figures-grudge	archetype	holding a grudge	Jonah (Resentful That Mercy Was Given) | The Older Brother (Bitter at the Father's Grace) | Cain (Festering Jealousy) | Esau (Robbed and Out for Revenge) | Saul (Threatened, Hunting the Innocent)	Holds up a mirror by matching your grudge to a figure who nursed the same one, with a knowing tone and a way out; deeply relatable and tag-a-friend material	85	Jonah angry at Nineveh's mercy, the prodigal's older brother, Cain and Abel, Esau's vow against Jacob, Saul's jealous pursuit of David are the Bible's classic grudge studies
