Why Do You Feel Stuck Right Now?	why-do-you-feel-stuck	profile	feeling stuck and purposeless	Stuck in Waiting | Stuck in Fear | Stuck in Comparison | Stuck in Burnout | Stuck in Disobedience	Names the exact reason you feel frozen and gives the one spiritual move that unsticks you; 'feeling stuck' is one of the most-searched life states for 20-40s	90	r/Christianity + secular r/findapath threads center on 'what am I doing with my life'; My Daily Bread 'What The Bible Says About Feeling Stuck' + 'obscurity always comes before assignment' devotionals rank highly
Which Bible Figure's Waiting Season Are You In?	which-waiting-season-bible-figure	archetype	stuck in a waiting season	Joseph in Prison | David Anointed but Not Yet King | Abraham Waiting for Isaac | Moses in Midian | Hannah Praying for a Child | Sarah Past Hope	The flagship archetype for waiting: maps your exact in-between to a named biblical wait (Joseph 13 yrs, David 15, Abraham 20, Moses 40) so the limbo finally has meaning	92	Heavy sermon volume: 'When God Makes You Wait' (Abraham), 'Joseph: God Is with You in the Waiting', David's 15-yr gap; waiting-season sermons are a recurring YouTube genre
What's Your Discernment Style?	whats-your-discernment-style	profile	how do I know God's will	The Counsel-Seeker | The Peace-Waiter | The Open-Door Walker | The Scripture-First | The Bold Mover	Reframes 'how do I know God's will' as a style you already lean on, then names your blind spot; God's-will discernment is a perennial top Christian search	89	Biola CMR 'Discerning God's Will vs Personal Desires', Core Christianity 'Non-Paralyzing Search for God's Will', and countless 'how do I know God's will for my life' searches
Is It God or Is It Just You?	is-it-god-or-just-you	profile	fear of the wrong choice	Mostly God's Nudge | Mostly Your Own Desire | A Healthy Mix | Too Tangled to Tell Yet	Tackles the #1 secret fear in Christian decisions head-on with a shareable, slightly cheeky title; everyone has whispered this	88	Direct match to searches 'how do I know if it's God or me'; La Vista Church + In Light of Scripture answer 'is this God or my own want' for jobs and marriage
What's Your God-Given Calling Style?	whats-your-calling-style	profile	what am I here for	The Builder | The Healer | The Messenger | The Shepherd | The Maker | The Bridge	Distinct from a generic calling profile: typed by HOW you're wired to serve, not gifts inventory; turns 'what am I here for' into an identity badge	87	iBelieve '6 Questions to Identify Your Calling', LeTourneau 'What is a Calling', and existing 'What Is My God-Given Purpose' quizzes prove strong demand
Are You Actually Behind in Life?	are-you-actually-behind-in-life	profile	feeling stuck and purposeless	Right on God's Timeline | Comparison Has Lied to You | In a Hidden Prep Season | Genuinely Drifting and Need a Step	Confronts the brutal 'everyone has it figured out' feeling with grace; the 'falling behind' anxiety is a viral evergreen for 20-40s	90	'Compare and despair' + 'feel like I'm falling behind while everyone has their life together' is documented across 20s/30s mental-health and Christian content
Which Waiting Room of the Bible Are You Sitting In?	which-bible-waiting-room	archetype	waiting on God	The Dungeon (Joseph) | The Wilderness (Moses) | The Cave (David) | The Doorway (Ruth) | The Shoreline (the Disciples) | The Empty Womb (Hannah)	A fresh 'waiting room' metaphor instead of literal figures; cozy, visual, and instantly shareable as 'this is so me'	84	Waiting-season sermon ecosystem (Abraham/Joseph/David/Moses) supports the frame; 'Does Waiting on God Feel Lonely?' service video shows the emotional pull
What's Keeping You From Making the Decision?	whats-blocking-your-decision	profile	big decisions	Fear of the Wrong Choice | Waiting for a Sign | Too Many Good Options | Other People's Opinions | Quiet Disobedience	Diagnoses analysis paralysis precisely; 'I can't decide' is universal and the result instantly feels like a mirror	86	Craig Groeschel 'When You Just Can't Decide', Church of Pentecost 'Analysis Paralysis: Struggle of an Overthinking Youth', '35,000 decisions a day' framing
Which Quarter-Life Crisis Are You Having?	which-quarter-life-crisis	profile	quarter-life crisis	The Career Spiral | The Purpose Panic | The Faith Wobble | The Comparison Trap | The 'Is This It?' Drift	Names the specific flavor of the 20s/30s unraveling with a faith lens; quarter-life crisis is a highly shareable, self-deprecating hook	87	ChristianChat 'quarter-life crisis in your 20s/30s' thread + Groundwork 'Feeling Lost in Your 20s and 30s' confirm this exact language and audience
Open Door or Closed Door?	open-door-or-closed-door	profile	discernment	This Door Is From God | This Door Is a Detour | The Door's Still Being Tested | You're Knocking on the Wrong Door	Turns the most-used Christian decision metaphor into a quiz; people LOVE having their 'sign' interpreted	85	Bridges Church 'Are open/closed doors indicators of God's will?', Proverbs 31 'Is It a Closed Door or an Opportunity?', huge open-door search volume
