What's Your Money Spirit?	whats-your-money-spirit	profile	financial stress, greed vs generosity, contentment	The Hoarder | The Giver | The Worrier | The Free Spender | The Steward	Everyone secretly wonders if their money habits are godly or greedy; a 4-archetype money-personality reveal is endlessly shareable and quietly convicting.	88	GotQuestions 'is it a sin to want money' + Tithely 19 Bible verses on greed/wealth; Hebrews 13:5 contentment framing; high search volume on Christian money attitudes.
Which Bible Figure's Relationship With Money Are You?	which-bible-money-figure-are-you	archetype	greed vs generosity, wealth, contentment	Rich Young Ruler | Zacchaeus | The Widow With Two Coins | Job | Solomon	Maps your wallet onto iconic money figures; the rich-young-ruler-vs-Zacchaeus contrast is a beloved teaching hook and screams 'share your result'.	90	Institute for Faith & Culture + Redeeming God rich young ruler studies; eatyourbible rich ruler vs Zacchaeus; widow's mite generosity teaching.
What's Your Relationship With Ambition?	whats-your-relationship-with-ambition	profile	workaholism, career vs calling, envy of success	Holy Ambition | Driven & Restless | Quietly Coasting | Striving For Approval | Surrendered	Ambition is praised and feared in church culture; naming whether yours is holy or hungry hits a nerve for every striver in the pews.	84	Desiring God 'Admonition to Workaholics'; Theology of Work calling vs career; Mockingbird 'Workists in the Hands of a Firing God'.
What Habit Is Quietly Running Your Life?	what-habit-is-running-your-life	profile	addiction, self-control, breaking bad habits	The Phone | The Snack/Comfort | The Scroll-Compare | The Escape Vice | The Overwork	The 'quietly running your life' framing is irresistibly self-aware; surfaces the secret habit people half-know rules them.	87	Desiring God 'Smartphone Addiction and Our Spiritual ADD'; APA stat 70% feel phone-addicted, 7.5 hrs/day average; idolatry-of-habit teaching.
What's Your Self-Control Weak Spot?	whats-your-self-control-weak-spot	profile	self-control, willpower, discipline	Appetite | Tongue/Words | Screen/Scroll | Temper | Lust	Self-control is the hardest fruit of the Spirit; a 'weak spot' diagnostic is convicting yet safe to share because everyone has one.	85	Galatians 5:22-23 self-control studies (Crossway, Truth For Life); 2 Tim 1:7 self-discipline; 1 Cor 10:13 'way out' temptation framing.
Which Bible Figure's Temptation Are You Fighting?	which-bible-temptation-are-you-fighting	archetype	lust, greed, willpower, temptation	David (Lust) | Achan (Greed) | Esau (Appetite) | Samson (Weakness) | Jesus in the Wilderness	Pairs your private battle with a Bible figure who fought the same one; the David/Samson lust angle plus a redemptive Jesus option makes it deeply shareable.	86	Self-control biblical examples (Joseph, Paul) from Life Hope Truth; David/Samson temptation narratives; Jesus' wilderness temptation as the overcomer model.
Is Your Phone an Idol? (A Gut-Check Quiz)	is-your-phone-an-idol	profile	phone addiction, social media, self-control	Surrendered | Tempted | Tethered | Fully Captured	Direct, slightly scary question everyone has privately asked; 'gut-check' invites honesty and the result begs to be posted.	89	Gospel Coalition 'How Do You Overcome Social Media Idolatry'; Desiring God smartphone ADD; 70% self-report phone addiction (APA).
Do You Need a Digital Detox? (Be Honest)	do-you-need-a-digital-detox	profile	phone addiction, social media, discipline	You're Fine | A Light Fast | A Real Detox | An Emergency Unplug	'Be honest' dares the reader; digital detox is a massive evergreen search and a low-shame, high-share self-diagnosis.	83	Living For The Christ 'Digital Detox Starter Kit'; The Rebelution '3 Reasons Digital Detoxing Drew Me Closer to God'; WORD30 detox challenge.
What's Driving Your Spending?	whats-driving-your-spending	profile	financial stress, impulse spending, contentment	Comfort/Retail Therapy | Status & Image | Fear & Hoarding | Generosity | Genuine Stewardship	Names the hidden emotion behind your purchases; 'retail therapy' is a viral concept and the heart-motive reveal feels personal and convicting.	84	Christian Stewardship Network 'Overcoming the Emotional Impulse to Spend'; Crown Ministries impulse spender; retail-therapy psychology of emotional buying.
What's Your Hidden Money Fear?	whats-your-hidden-money-fear	profile	financial stress, anxiety, trust	Fear of Not Having Enough | Fear of Losing It | Fear of Being Judged | Fear of Generosity	Money anxiety is nearly universal and rarely spoken aloud; naming the specific fear is cathartic and shareable.	82	Crosswalk '8 Ways to Trust God When Money Is Tight'; YouVersion 'Anxiety About Money' plan; Philippians 4:6-7 / Matthew 6 'do not worry' framing.
