What's Behind Your Spiritual Dryness?	whats-behind-your-spiritual-dryness	profile	spiritual dryness / God feels silent	Soul Fatigue (you're empty, not far) | Hidden Sin Static | The Dark Night (God is weaning, not leaving) | Distraction Drift | Unprocessed Grief	Names the real reason your quiet times went flat and gives one scripture + one next step instead of generic guilt	91	Cru "5 Things to Do When God Seems Silent", GotQuestions "God-silent-absent", Soul Shepherding dark-night articles, and Daily She Pursues "4 Reasons You May Be Feeling Far From God" all rank for this; "why do I feel far from God" is a recurring top question per Wholeheartedly Messy / Mission Hills
What Kind of Doubt Are You Actually Having?	what-kind-of-doubt-are-you-having	profile	doubt / is my faith real	Intellectual Doubt | Emotional Doubt | Moral / Volitional Doubt | Relational Doubt (someone hurt you) | Circumstantial Doubt (suffering shook you)	Reframes "I'm losing my faith" into a nameable type so you know how to actually treat it	90	Os Guinness's intellectual/emotional/moral framework is widely taught (Crossway, Jonathan Morrow, Travis Dickinson, crossexamined.org "most doubts are emotional not intellectual"); 412teens/Ligonier show huge demand for "is it a sin to doubt"
Which Doubting Bible Figure Are You?	which-doubting-bible-figure-are-you	archetype	doubt / is my faith real	Thomas (needs proof) | John the Baptist in prison (are you the one?) | Gideon (lays out a fleece) | The father of Mark 9 (help my unbelief) | Job (demands an answer) | Sarah (laughs in disbelief)	Turns the shame of doubt into "you're in good biblical company" — Thomas, Gideon, John all doubted and were not rejected	92	TGC "My Comfort in John the Baptist's Doubt", Desiring God "How Doubting Thomas Finds Faith", Abide "5 Biblical Figures Who Turned Doubt into Devotion", Logos "Doubting John" — strong shareable demand around named doubters
Are You Deconstructing or Just Asking Honest Questions?	deconstructing-or-asking-honest-questions	profile	doubt / deconstruction	Healthy Questioning (faith-building) | Deconstruction Toward Rebuilding | Deconstruction Toward Exit | Faith Crisis (pain-driven) | Stuck in the Rubble	Answers the exact question deconstructing 25-45s are Googling at 2am: is this growth or am I leaving?	89	#deconstruction has ~1.1B views and #exvangelical ~233M on TikTok; iBelieve "Questioning versus Deconstructing", GotQuestions, Carey Nieuwhof "5 Reasons People Are Deconstructing", ACSD all frame the exact distinction
Why Does God Feel Silent Right Now?	why-does-god-feel-silent-right-now	profile	God feels silent / hearing God	You Stopped Listening | He's Speaking Through Scripture (not feelings) | The Dark Night (deliberate withdrawal) | Noise Has Crowded Him Out | He Already Answered, You Didn't Recognize It	Diagnoses the specific reason God feels quiet for YOU and hands you the next move	90	Cru, Crossway "How to Pray and Hear Back from God", Oswald Chambers "silence of pleasure" widely cited; Abide "Hearing His Whisper"; "why does God feel silent / distant" is a dominant search cluster
Is Your Faith on Autopilot?	is-your-faith-on-autopilot	profile	going through the motions / dryness	Running on Fumes (burnout) | Performance Mode (faking it) | Comfortable Coasting | Numb but Showing Up | Genuinely Resting (it's okay)	Brutally honest self-check for the Christian who shows up, smiles, says the words, and feels nothing	88	Christian Post "Feel like your faith is on autopilot", Living a Fruitful Life "Active or on Autopilot", iBelieve "Spiritually Burned Out But Still Believe", For The Church "Going Through the Motions" — heavy, recurring content theme
What Stage of the Faith Journey Are You In?	what-stage-of-the-faith-journey-are-you-in	profile	doubt / distance from God	Discovery | Belonging / Discipleship | The Productive Life | The Wall (inward journey) | Outward Love (the far side)	Maps your wrestling onto the famous "Wall" of the Critical Journey so your crisis finally makes sense	87	Hagberg & Guelich "The Critical Journey" and Fowler "Stages of Faith" are heavily blogged (Becoming Me podcast, Restoring The Heart, 2nd Half Collaborative); "the Wall" is a sticky, shareable concept
Are You in a Dark Night of the Soul?	are-you-in-a-dark-night-of-the-soul	profile	spiritual dryness / God feels absent	Yes, the Classic Dark Night | Spiritual Burnout (not the same) | Depression Wearing a Spiritual Mask | A Dry Season (normal) | Conviction You're Avoiding	Helps you tell the difference between a holy dark night, plain burnout, and something a doctor should see	88	Soul Shepherding, R.C. Sproul/Ligonier, Catholic.com, Dr. Alison Cook podcast, Testimonio "Dark Night... How to Survive It" — strong demand; Mother Teresa / C.S. Lewis hooks make it shareable
Why Aren't Your Prayers Being Answered?	why-arent-your-prayers-being-answered	profile	unanswered prayer	It's a "Not Yet" | It's a Loving "No" | A Heart Barrier (unforgiveness) | Wrong-Motive Asking | He Answered Differently Than You Asked	Gently names which of the classic reasons fits your situation instead of leaving you feeling ignored	87	JD Greear "5 Reasons", Billy Graham, GotQuestions "unanswered-prayer", For the Gospel "8 Reasons", Wayne Stiles — massive, durable search demand around "why won't God answer my prayers"
Which "When God Is Silent" Bible Figure Are You?	which-when-god-is-silent-figure-are-you	archetype	unanswered prayer / God feels silent	Job (no answer for ages) | Habakkuk (how long, Lord?) | Asaph (Psalm 73 almost slipped) | Hannah (prayed through tears) | Elijah (burned out under the broom tree) | David in the cave	Matches your silent-prayer season to a Bible figure who waited in the dark and survived	89	Carrubbers / Inspired Scripture on Psalm 88 "When God Is Silent", Franciscan Media "Biblical Laments", "faith is learning to trust God in the dark" widely shared; lament figures are vivid and relatable
