"slug","key","name","type","status","note"
"are-you-a-leah-or-a-rachel","leah","Leah (overlooked but chosen)","character","OK",""
"are-you-a-leah-or-a-rachel","rachel","Rachel (loved but striving)","character","OK",""
"found-by-god-story","prodigal","The Prodigal Who Came Home","character","OK",""
"found-by-god-story","woman-at-the-well","The Woman at the Well","character","OK",""
"found-by-god-story","zacchaeus","Zacchaeus in the Tree","character","OK",""
"found-by-god-story","lost-sheep","The Lost Sheep","creature","OK",""
"mary-or-martha","martha","Martha in the Kitchen","character","OK",""
"mary-or-martha","mary","Mary at His Feet","character","OK",""
"unseen-by-god-moment","david-in-the-caves","David in the Caves","character","MISMATCH","Shows a man slumped under a tree in open desert with a loaf of bread and a water jug (the Elijah-under-the-broom-tree scene); no cave is depicted."
"unseen-by-god-moment","elijah-under-the-broom-tree","Elijah Under the Broom Tree","character","MISMATCH","Shows a robed figure striding across the desert with a staff and billowing cloak; no broom tree and no resting figure."
"unseen-by-god-moment","hagar-in-the-wilderness","Hagar in the Wilderness","character","MISMATCH","Shows a disembodied open hand holding a folded cloth with rising smoke and a small flame/dove above; no woman is depicted."
"unseen-by-god-moment","hannah-at-the-temple","Hannah at the Temple","character","MISMATCH","Shows a young woman weeping in the open wilderness with a robed man walking away behind her (the Hagar-cast-out scene); no temple or sanctuary."
"which-apostle-are-you","andrew","Andrew the Gatherer","character","OK",""
"which-apostle-are-you","bartholomew","Bartholomew the Sincere","character","OK",""
"which-apostle-are-you","james","James the Thunder","character","OK",""
"which-apostle-are-you","john","John the Beloved","character","OK",""
"which-apostle-are-you","matthew","Matthew the Outsider","character","OK",""
"which-apostle-are-you","peter","Peter the Bold","character","OK",""
"which-apostle-are-you","philip","Philip the Seeker","character","OK",""
"which-apostle-are-you","thomas","Thomas the Honest","character","OK",""
"which-bible-character-are-you","daniel","Daniel in Exile","character","OK",""
"which-bible-character-are-you","david","David the Songwriter","character","OK",""
"which-bible-character-are-you","esther","Esther for Such a Time","character","OK",""
